profile,metric,v1_delta,v2_delta,change
MEDIUM,reward,0.3520364408151257,0.9488482036285788,0.596811762813453
MEDIUM,success_rate,0.009600000000000004,0.016800000000000037,0.007200000000000033
DENSE,reward,19.223568318263638,20.29386336779057,1.0702950495269334
DENSE,success_rate,0.0019500000000000016,0.005099999999999993,0.0031499999999999918
BURST,reward,39.73963384876077,41.16840973376637,1.4287758850055994
BURST,success_rate,0.0037000000000000006,0.006399999999999961,0.0026999999999999607
MEDIUM,successful_throughput_tasks_per_hour,0.3919,0.7849490965812791,0.39304909658127907
DENSE,successful_throughput_tasks_per_hour,2.1423,1.6532730541575944,-0.4890269458424057
BURST,successful_throughput_tasks_per_hour,1.1875,0.7729988672537331,-0.4145011327462669
