profile,condition,metric,delta,ci_low,ci_high,family_holm_p
MEDIUM,no_queue_resource,reward,0.11595443732778321,-0.07455602709647788,0.3348721442883206,1.0
MEDIUM,no_queue_resource,success_rate,0.0026000000000000467,-4.999999999999449e-05,0.005700000000000038,0.59765625
MEDIUM,no_queue_resource,successful_throughput_tasks_per_hour,0.11230450019265703,-0.020880427785468923,0.27258670056647905,0.703125
MEDIUM,no_handover_cues,reward,0.015372299948019474,-0.1242204401226255,0.16901658056267954,1.0
MEDIUM,no_handover_cues,success_rate,0.0007000000000000339,-0.0013499999999999623,0.002850000000000019,1.0
MEDIUM,no_handover_cues,successful_throughput_tasks_per_hour,0.029319968485005177,-0.07531146077139521,0.1436747333752674,1.0
MEDIUM,no_persistent_position,reward,10.144611017535599,9.465428590043269,10.827924166940962,0.017578125
MEDIUM,no_persistent_position,success_rate,0.03334999999999999,0.026349999999999985,0.040449999999999986,0.017578125
MEDIUM,no_persistent_position,successful_throughput_tasks_per_hour,2.1625301742553873,1.7626416287756845,2.5991278761405563,0.017578125
DENSE,no_queue_resource,reward,0.1334464521250034,-0.3692248479668776,0.6768159536386017,1.0
DENSE,no_queue_resource,success_rate,0.0018499999999999073,-0.0011499999999999844,0.0051499999999999905,1.0
DENSE,no_queue_resource,successful_throughput_tasks_per_hour,-0.047044766334053634,-0.6078227955972444,0.517812891661121,1.0
DENSE,no_handover_cues,reward,0.02090079008254797,-0.4564403356373431,0.47398375199024323,1.0
DENSE,no_handover_cues,success_rate,-0.0030000000000000027,-0.007950000000000013,0.0022999999999999687,1.0
DENSE,no_handover_cues,successful_throughput_tasks_per_hour,0.004071449289853035,-0.5309640378950327,0.5197657024454939,1.0
DENSE,no_persistent_position,reward,25.256377062771442,23.30326400138146,27.18112209570458,0.017578125
DENSE,no_persistent_position,success_rate,0.022599999999999953,0.016549999999999954,0.02935125000000008,0.017578125
DENSE,no_persistent_position,successful_throughput_tasks_per_hour,16.0540165326055,14.583308250230264,17.534028186370424,0.017578125
BURST,no_queue_resource,reward,0.5613909146183289,-0.9061337135984431,2.1759803303432106,1.0
BURST,no_queue_resource,success_rate,0.0015499999999999403,-0.0016000000000000458,0.005449999999999955,1.0
BURST,no_queue_resource,successful_throughput_tasks_per_hour,-0.3156032963177893,-1.1888013348929873,0.5151858355648964,1.0
BURST,no_handover_cues,reward,-0.00804640941574064,-1.1335225422288073,1.0760301296084367,1.0
BURST,no_handover_cues,success_rate,-0.00024999999999997247,-0.0045999999999999375,0.004249999999999976,1.0
BURST,no_handover_cues,successful_throughput_tasks_per_hour,-0.31414630625610585,-1.1817803778429372,0.5114163153317107,1.0
BURST,no_persistent_position,reward,39.17381572853836,35.05347117439718,44.29380993981004,0.017578125
BURST,no_persistent_position,success_rate,0.021399999999999975,0.015249999999999986,0.028200000000000003,0.017578125
BURST,no_persistent_position,successful_throughput_tasks_per_hour,23.722866579044805,21.583575141392988,26.157574415856455,0.017578125
