profile,training_seed,phase,cdc_share_percent,aggregate_ci95_low_percent,aggregate_ci95_high_percent
MEDIUM,1,NORMAL,20.9,19.490000000000002,21.97
MEDIUM,2,NORMAL,21.55,19.490000000000002,21.97
MEDIUM,3,NORMAL,20.199999999999996,19.490000000000002,21.97
MEDIUM,4,NORMAL,19.999999999999996,19.490000000000002,21.97
MEDIUM,5,NORMAL,19.499999999999996,19.490000000000002,21.97
MEDIUM,6,NORMAL,20.65,19.490000000000002,21.97
MEDIUM,7,NORMAL,22.999999999999996,19.490000000000002,21.97
MEDIUM,8,NORMAL,23.5,19.490000000000002,21.97
MEDIUM,9,NORMAL,20.199999999999996,19.490000000000002,21.97
MEDIUM,10,NORMAL,17.6,19.490000000000002,21.97
MEDIUM,1,DENSE,4.45,4.019874999999999,8.520124999999998
MEDIUM,2,DENSE,2.7499999999999996,4.019874999999999,8.520124999999998
MEDIUM,3,DENSE,3.9999999999999996,4.019874999999999,8.520124999999998
MEDIUM,4,DENSE,2.5499999999999994,4.019874999999999,8.520124999999998
MEDIUM,5,DENSE,5.149999999999999,4.019874999999999,8.520124999999998
MEDIUM,6,DENSE,10.800000000000002,4.019874999999999,8.520124999999998
MEDIUM,7,DENSE,13.200000000000001,4.019874999999999,8.520124999999998
MEDIUM,8,DENSE,4.7,4.019874999999999,8.520124999999998
MEDIUM,9,DENSE,9.700000000000005,4.019874999999999,8.520124999999998
MEDIUM,10,DENSE,3.5000000000000004,4.019874999999999,8.520124999999998
MEDIUM,1,BURST,2.25,2.754875,7.6801249999999985
MEDIUM,2,BURST,0.8500000000000001,2.754875,7.6801249999999985
MEDIUM,3,BURST,9.85,2.754875,7.6801249999999985
MEDIUM,4,BURST,0.6500000000000001,2.754875,7.6801249999999985
MEDIUM,5,BURST,3.25,2.754875,7.6801249999999985
MEDIUM,6,BURST,10.35,2.754875,7.6801249999999985
MEDIUM,7,BURST,10.4,2.754875,7.6801249999999985
MEDIUM,8,BURST,4.199999999999999,2.754875,7.6801249999999985
MEDIUM,9,BURST,8.750000000000002,2.754875,7.6801249999999985
MEDIUM,10,BURST,1.15,2.754875,7.6801249999999985
MEDIUM,1,RECOVERY,1.8500000000000003,2.3948750000000003,10.960124999999996
MEDIUM,2,RECOVERY,0.6000000000000001,2.3948750000000003,10.960124999999996
MEDIUM,3,RECOVERY,22.949999999999996,2.3948750000000003,10.960124999999996
MEDIUM,4,RECOVERY,0.45000000000000007,2.3948750000000003,10.960124999999996
MEDIUM,5,RECOVERY,0.9000000000000001,2.3948750000000003,10.960124999999996
MEDIUM,6,RECOVERY,6.5,2.3948750000000003,10.960124999999996
MEDIUM,7,RECOVERY,10.000000000000002,2.3948750000000003,10.960124999999996
MEDIUM,8,RECOVERY,3.85,2.3948750000000003,10.960124999999996
MEDIUM,9,RECOVERY,12.55,2.3948750000000003,10.960124999999996
