profile,metric,estimate,ci95_low,ci95_high
MEDIUM,success_rate,2.0712500000000134,1.7487500000000318,2.402531250000017
MEDIUM,successful_throughput_tasks_per_hour,1.4576361329424117,1.2363532461194047,1.694528598706248
MEDIUM,mean_waiting_time,-7.36820516419877,-19.758894230739827,4.343449670650109
MEDIUM,p95_waiting_time,-67.76592341682851,-118.51319862756613,-18.60960604370171
DENSE,success_rate,0.9025000000000172,0.5437187499999988,1.3087812500000024
DENSE,successful_throughput_tasks_per_hour,0.635785376366087,0.38073354299850165,0.923302914156363
DENSE,mean_waiting_time,-48.42062163982135,-53.71682912311164,-43.23709308530805
DENSE,p95_waiting_time,-208.0157984633796,-233.75146671755442,-182.3986635263817
BURST,success_rate,0.9787500000000171,0.5537500000000193,1.4400312500000287
BURST,successful_throughput_tasks_per_hour,0.6927534684738532,0.39832285142458695,1.021368949337284
BURST,mean_waiting_time,-50.35613219440657,-55.609347166594,-45.09675577333502
BURST,p95_waiting_time,-223.77049032569585,-249.2750223765905,-198.20588565222832
