profile,seed,source_history,ppo_update,loss_block_start_update,loss_block_end_update,ppo_objective_loss_block_median,ppo_actor_loss_block_median,ppo_value_loss_block_median,ppo_entropy_block_median,ppo_approximate_kl_block_median,ppo_clip_fraction_block_median,evaluation_episode_count,evaluation_task_count,raw_environment_mean_return,return_change_from_update_50,task_success_rate_percent,illegal_action_count,resource_leak_count
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,50,1,50,0.15926690824562684,0.0006927557988092303,0.3184380433522165,0.39237394747260623,0.006512249604043063,0.03351384971756488,100,2000,17.927649961343583,0.0,96.45,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,100,51,100,0.1059975909156492,-0.0022170121083036065,0.2429623045027256,0.445699208881706,0.007615359623741824,0.03648792626336217,100,2000,18.253778102181172,0.32612814083758934,96.95,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,150,101,150,0.10713797392963897,0.0005303340585669503,0.22720409359317273,0.48237757245078683,0.008227693291701144,0.043424479314126074,100,2000,18.015183712662957,0.08753375131937347,96.5,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,200,151,200,0.0963094402650313,-0.004376681870780885,0.21096948150079697,0.4614888031501323,0.009839426700636977,0.0448330967919901,100,2000,18.318701466747815,0.3910515054042314,97.1,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,250,201,250,0.0803165317629464,-0.0046998250763863325,0.17779251118190587,0.4558302459772676,0.007068460485811556,0.03946200292557478,100,2000,17.811832261582374,-0.11581769976120881,98.65,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,300,251,300,0.08145602005242836,-0.0037840665027033538,0.18241473200032488,0.387432709132554,0.006438713724492118,0.039115767111070454,100,2000,18.29878584694105,0.371135885597468,97.0,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,350,301,350,0.057479603365209186,-0.006404459098121151,0.1427829674212262,0.39734970254357904,0.005008197887946153,0.03759765636641532,100,2000,18.47588008118378,0.5482301198401984,97.45,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,400,351,400,0.052049723140953574,-0.0053246573224896565,0.11858676822157577,0.3803461773786694,0.006351957194056013,0.03632516588550061,100,2000,17.755473731518208,-0.17217622982537506,96.95,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,450,401,450,0.053166193054494215,-0.008023626774956938,0.12761356151895598,0.3497773644753579,0.004021150269636564,0.03742009960114956,100,2000,18.48282733322149,0.5551773718779067,97.45,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,500,451,500,0.04979212711623404,-0.005599083728156984,0.12327685748459771,0.3528656349517405,0.00564730729229268,0.03385416674427688,100,2000,18.579481309521636,0.6518313481780531,98.35000000000001,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,550,501,550,0.04438507762824884,-0.004360875143902376,0.10419193160487339,0.342061280971393,0.005823778627018328,0.03754340286832303,100,2000,18.341608413119083,0.4139584517754997,97.35000000000001,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,600,551,600,0.053538535325060366,-0.008022249734494835,0.12383648089598864,0.3568891150644049,0.004830395182580105,0.034277343773283064,100,2000,18.501336852317444,0.5736868909738604,98.0,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,650,601,650,0.04732433566823602,-0.00377778586698696,0.1041503946762532,0.3257672088457184,0.00540440051099722,0.03946200292557478,100,2000,18.417317261127888,0.4896672997843048,98.2,0,0
Medium,seed_01,results/stage18/full_context_v2/seed_01/stage18_ppo.history.json,700,651,700,0.04799219689448364,-0.006390145979821682,0.11168099258793518,0.37036981699111493,0.0054509929858568285,0.03160807304084301,100,2000,18.087753008820098,0.1601030474765146,96.75,0,0
