stage,scenario,method,metric,value,source_path
21,NAVIGATION_FAILURE,SINGLE_DOG_ONLY,p95_waiting_time,1200.0036089620894,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,SINGLE_DOG_ONLY,mean_flow_time,366.92601251783867,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,SINGLE_DOG_ONLY,p95_flow_time,1230.1431560308672,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,SINGLE_DOG_ONLY,distance_per_task,46.05815430492349,results/stage21_external_validity/fault_robustness_locked_summary.json
21,NAVIGATION_FAILURE,SINGLE_DOG_ONLY,recovery_time_s,47.5644699102194,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,success_rate,0.9672250000000001,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,reward,-265.8258443885897,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,successful_throughput_tasks_per_hour,68.57722885486685,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,mean_waiting_time,107.69292730500916,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,p95_waiting_time,455.09373240495916,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,mean_flow_time,152.2841256564662,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,p95_flow_time,507.1796575356878,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,distance_per_task,73.36744000799858,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,PPO,recovery_time_s,32.69013790852932,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,success_rate,0.9667499999999998,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,reward,-360.26543235970604,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,successful_throughput_tasks_per_hour,68.55139020004096,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,mean_waiting_time,139.85441669824814,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,p95_waiting_time,584.8550997825574,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,mean_flow_time,183.4091306438039,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,p95_flow_time,619.4478621057934,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,distance_per_task,73.76773948854392,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,TIME_GREEDY_RULE,recovery_time_s,33.39222928022365,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,success_rate,0.9616250000000001,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,reward,-913.7867411247782,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,successful_throughput_tasks_per_hour,67.4809824470486,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,mean_waiting_time,321.6426892738786,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,p95_waiting_time,1249.8629198860885,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,mean_flow_time,380.3335080093789,results/stage21_external_validity/fault_robustness_locked_summary.json
21,STAIR_OUTAGE,SINGLE_DOG_ONLY,p95_flow_time,1280.3280509114056,results/stage21_external_validity/fault_robustness_locked_summary.json
