stage,source_path,artifact,gate,status,passed,claim_boundary,profile,execution_mode,updates,episodes_trained_total
14,results/stage18_repair_archive/stage18_dense/full_context_v2/seed_02_resumed_legacy/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
19,results/stage19_mixed_recovery/stage19_mixed_recovery_summary.json,stage19_mixed_recovery_summary.json,,NOT_REPORTED,,Fresh locked-test evidence. Profile comparisons are exploratory; PPO-vs-baseline comparisons use crossed training/test-seed bootstrap.,,,,
20,results/stage20_mixed_curriculum/long/seed_01/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
14,results/stage20_mixed_curriculum/long/seed_01/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_01/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_02/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
14,results/stage20_mixed_curriculum/long/seed_02/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_02/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_03/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
14,results/stage20_mixed_curriculum/long/seed_03/stage20_ppo.summary.json,stage20_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,MIXED_CURRICULUM,CONCURRENT,2000,8000
14,results/stage20_mixed_curriculum/long/seed_03/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,MIXED_CURRICULUM,CONCURRENT,,
20,results/stage20_mixed_curriculum/long/seed_04/run_plan.json,run_plan.json,MIXED_CURRICULUM_FORMAL_TRAINING,NOT_REPORTED,,Training only; fresh locked test required after ten-weight freeze.,MIXED_CURRICULUM,CONCURRENT,2000,
