profile,training_profile,evaluation_profile,comparison,metric,hypothesis_family,left_estimate,right_estimate,mean_delta,ci_low,ci_high,exact_two_sided_sign_flip_p,family_holm_adjusted_p,family_bh_fdr_q,global_holm_adjusted_p,global_bh_fdr_q,positive_training_seed_count
MEDIUM,,,full_context_v2_minus_rule_baseline,reward,primary_full_vs_rule,18.57180239928975,17.622954195661173,0.9488482036285788,0.5084757728396989,1.4302854783736136,0.001953125,0.017578125,0.0025111607142857145,0.1171875,0.003662109375,10
MEDIUM,,,full_context_v2_minus_rule_baseline,success_rate,primary_full_vs_rule,0.9808,0.964,0.016800000000000037,0.011599999999999944,0.022649999999999948,0.001953125,0.017578125,0.0025111607142857145,0.1171875,0.003662109375,10
MEDIUM,,,full_context_v2_minus_rule_baseline,successful_throughput_tasks_per_hour,primary_full_vs_rule,54.84652941518937,54.061580318608094,0.7849490965812791,0.5019080817558315,1.107662995250682,0.001953125,0.017578125,0.0025111607142857145,0.1171875,0.003662109375,10
DENSE,,,full_context_v2_minus_rule_baseline,reward,primary_full_vs_rule,-14.080768306960726,-34.3746316747513,20.29386336779057,17.39642754219432,23.2258291487975,0.001953125,0.017578125,0.0025111607142857145,0.1171875,0.003662109375,10
DENSE,,,full_context_v2_minus_rule_baseline,success_rate,primary_full_vs_rule,0.9691,0.964,0.005099999999999993,0.0018500000000000183,0.009199999999999986,0.005859375,0.017578125,0.006591796875,0.1640625,0.010340073529411764,9
DENSE,,,full_context_v2_minus_rule_baseline,successful_throughput_tasks_per_hour,primary_full_vs_rule,118.73118289276613,117.07790983860853,1.6532730541575944,0.2321280222487193,3.1268126000402146,0.001953125,0.017578125,0.0025111607142857145,0.1171875,0.003662109375,10
BURST,,,full_context_v2_minus_rule_baseline,reward,primary_full_vs_rule,-78.63417549279262,-119.80258522655899,41.16840973376637,37.25274490793508,45.334384220319556,0.001953125,0.017578125,0.0025111607142857145,0.1171875,0.003662109375,10
BURST,,,full_context_v2_minus_rule_baseline,success_rate,primary_full_vs_rule,0.9679,0.9615,0.006399999999999961,0.0023499999999999632,0.011351250000000061,0.001953125,0.017578125,0.0025111607142857145,0.1171875,0.003662109375,10
BURST,,,full_context_v2_minus_rule_baseline,successful_throughput_tasks_per_hour,primary_full_vs_rule,138.9614786905186,138.18847982326486,0.7729988672537331,-0.8526391066689392,2.4680593270110003,0.03515625,0.03515625,0.03515625,0.87890625,0.05859375,8
