stage,source_path,profile,condition,seed,endpoint,loss,actor_loss,value_loss,entropy,update,episodes_trained,rollout_steps,rollout_mean_reward,approximate_kl,clip_fraction,gradient_norm,rollout_completed,rollout_failed,rollout_peak_active_tasks,raw_episode_reward_mean,raw_reward_mean,normalized_reward_mean,normalized_reward_std,return_normalizer_variance
20,results/stage20_mixed_curriculum/long/seed_03/warm_start.history.json,MIXED_CURRICULUM,seed_03,3,last,0.2503722523897886,0.2503722523897886,1.0682061867043375,0.15908081956207754,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_04/stage20_ppo.history.json,MIXED_CURRICULUM,seed_04,4,first,0.0381067515198334,0.0028729155651646956,0.07273121017577319,0.11317686634218513,1,4,911,-328.6616685983406,0.0685186224250958,0.06314655181405873,1.2803695610049983,311,9,3,-328.6616685983406,-1.4430809020996094,-0.012542719021439552,0.04637013375759125,13237.256959259095
20,results/stage20_mixed_curriculum/long/seed_04/stage20_ppo.history.json,MIXED_CURRICULUM,seed_04,4,last,0.007322594033682655,-0.0023817887031954937,0.03458411020130433,0.7587670604216641,2000,8000,926,-518.5880834038344,0.014753464440783036,0.07235991389587007,0.7444377601917448,302,18,4,-518.5880834038344,-2.240121603012085,-0.015426221303641796,0.0418509803712368,21087.44077628814
20,results/stage20_mixed_curriculum/long/seed_04/warm_start.history.json,MIXED_CURRICULUM,seed_04,4,first,0.8802094078063964,0.8802094078063964,1.5027879577875138,1.2860401904582976,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_04/warm_start.history.json,MIXED_CURRICULUM,seed_04,4,last,0.2533819196000695,0.2533819196000695,1.4223182103037835,0.15481023654341697,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_05/stage20_ppo.history.json,MIXED_CURRICULUM,seed_05,5,first,0.038281988565296195,0.003908201016421462,0.0708725633709852,0.10624948445265231,1,4,910,-542.0517706621966,0.2044607872657221,0.06992764783830478,2.0495883711966973,311,9,4,-542.0517706621966,-2.3826451301574707,-0.014438195154070854,0.04542752355337143,27232.834434574877
20,results/stage20_mixed_curriculum/long/seed_05/stage20_ppo.history.json,MIXED_CURRICULUM,seed_05,5,last,0.00176047850881928,-0.0024848806446996228,0.022788575364694256,0.7148927968589525,2000,8000,919,-304.1066480891109,0.05223276463220827,0.11203382684495942,0.7702756599234096,305,15,4,-304.1066480891109,-1.3236414194107056,-0.00803939439356327,0.023811668157577515,27107.79074027731
20,results/stage20_mixed_curriculum/long/seed_05/warm_start.history.json,MIXED_CURRICULUM,seed_05,5,first,1.0387221431732179,1.0387221431732179,0.9845657453685999,1.48105890750885,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_05/warm_start.history.json,MIXED_CURRICULUM,seed_05,5,last,0.07303840755484999,0.07303840755484999,0.991558911013417,0.14657703103497624,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_06/stage20_ppo.history.json,MIXED_CURRICULUM,seed_06,6,first,0.04964579200645074,0.00226393290634813,0.09792977585938983,0.15830289635100755,1,4,912,-366.8576720469299,0.08772142634502259,0.07354525862068965,1.3494814874540115,309,11,3,-366.8576720469299,-1.6090248823165894,-0.013135003857314587,0.04332853481173515,15006.006381126033
20,results/stage20_mixed_curriculum/long/seed_06/stage20_ppo.history.json,MIXED_CURRICULUM,seed_06,6,last,-0.010481597125080639,-0.011517872086501327,0.012173856792224828,0.5050652904279433,2000,8000,906,-212.89966468383247,0.04654782807521205,0.1168103448661237,1.0381264980111657,306,14,4,-212.89966468383247,-0.939954400062561,-0.006698315963149071,0.023095211014151573,19691.660252790243
20,results/stage20_mixed_curriculum/long/seed_06/warm_start.history.json,MIXED_CURRICULUM,seed_06,6,first,0.9790388238430023,0.9790388238430023,1.4439777399599552,1.472015519142151,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_06/warm_start.history.json,MIXED_CURRICULUM,seed_06,6,last,0.09875688279047608,0.09875688279047608,1.4235152116417884,0.17078759342432023,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_07/stage20_ppo.history.json,MIXED_CURRICULUM,seed_07,7,first,0.04437191484913487,0.003922426438858283,0.08293738718754773,0.10192040582551429,1,4,910,-369.5959034205532,0.1240690484639564,0.07062038188350611,1.1744633260793214,313,7,3,-369.5959034205532,-1.6245973110198975,-0.013833942823112011,0.048315394669771194,13791.118943751777
20,results/stage20_mixed_curriculum/long/seed_07/stage20_ppo.history.json,MIXED_CURRICULUM,seed_07,7,last,0.008654485729619348,-0.0018355230527833618,0.03375833581306104,0.6389160770280607,2000,8000,909,-446.7689110022225,0.026052584767277384,0.10976873344645419,0.9899806301912357,310,10,4,-446.7689110022225,-1.965979814529419,-0.012201751582324505,0.03501967340707779,25960.541364540153
20,results/stage20_mixed_curriculum/long/seed_07/warm_start.history.json,MIXED_CURRICULUM,seed_07,7,first,0.9150235140323639,0.9150235140323639,1.662484953403473,1.3348281168937683,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_07/warm_start.history.json,MIXED_CURRICULUM,seed_07,7,last,0.15540068097412585,0.15540068097412585,1.697654896080494,0.14208324573934078,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_08/stage20_ppo.history.json,MIXED_CURRICULUM,seed_08,8,first,0.03623210611062702,0.005195666329357131,0.0638245460737882,0.08758327261929136,1,4,916,-381.71404587649056,0.07973369590512573,0.043750000025691654,1.3300258785743138,312,8,4,-381.71404587649056,-1.666873574256897,-0.01596326008439064,0.05168784409761429,10903.404518556137
20,results/stage20_mixed_curriculum/long/seed_08/stage20_ppo.history.json,MIXED_CURRICULUM,seed_08,8,last,0.011451722580361468,-0.004962279092006642,0.050015887454280566,0.8593943219246536,2000,8000,909,-580.6204788140999,0.013429557398796595,0.08117125343916745,0.8305841049757497,301,19,4,-580.6204788140999,-2.554985523223877,-0.016646146774291992,0.04118897393345833,23558.601423720338
20,results/stage20_mixed_curriculum/long/seed_08/warm_start.history.json,MIXED_CURRICULUM,seed_08,8,first,1.0449264693260192,1.0449264693260192,1.1985871493816376,1.569968192577362,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_08/warm_start.history.json,MIXED_CURRICULUM,seed_08,8,last,0.10178951237350703,0.10178951237350703,1.2298083042353392,0.14821645967662334,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_09/stage20_ppo.history.json,MIXED_CURRICULUM,seed_09,9,first,0.034956391398485845,-0.00676054366189858,0.08511272236576368,0.08394250267181257,1,4,917,-436.2602658371426,0.11057373207937606,0.06403940900004115,1.2315171160574616,307,13,3,-436.2602658371426,-1.902989149093628,-0.01600838266313076,0.05018094554543495,14131.155793636617
20,results/stage20_mixed_curriculum/long/seed_09/stage20_ppo.history.json,MIXED_CURRICULUM,seed_09,9,last,0.0011833149875546325,-0.005584543366145728,0.0295918063212443,0.8028045093704914,2000,8000,919,-777.9010800369016,0.0005402979280414252,0.057744565227165305,0.6253764753968551,307,13,4,-777.9010800369016,-3.3858590126037598,-0.020940210670232773,0.052796900272369385,26144.21227406004
20,results/stage20_mixed_curriculum/long/seed_09/warm_start.history.json,MIXED_CURRICULUM,seed_09,9,first,1.013539788722992,1.013539788722992,0.9015644378215074,1.4039966011047362,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_09/warm_start.history.json,MIXED_CURRICULUM,seed_09,9,last,0.05931091781705618,0.05931091781705618,0.9637417151033878,0.13599571973085403,,,,,,,,,,,,,,,
20,results/stage20_mixed_curriculum/long/seed_10/stage20_ppo.history.json,MIXED_CURRICULUM,seed_10,10,first,0.04695321486134821,0.014840582883435077,0.06628741091117263,0.10310741013080557,1,4,902,-502.2761428907464,0.0572678731726322,0.06537356330402966,1.8979402929544449,309,11,4,-502.2761428907464,-2.227388620376587,-0.01380233559757471,0.04407825320959091,26042.744716092468
20,results/stage20_mixed_curriculum/long/seed_10/stage20_ppo.history.json,MIXED_CURRICULUM,seed_10,10,last,0.008876439416781068,0.002551509420676478,0.028216057354664623,0.77830989324841,2000,8000,904,-985.9675715015073,0.004707750446837524,0.08728448275862069,1.2643774896860123,306,14,4,-985.9675715015073,-4.3626885414123535,-0.027617013081908226,0.06770112365484238,24954.85132663651
