"scenario","comparison","metric","difference","ci95_low","ci95_high","training_seed_count","test_seed_count"
"STAIR_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","mean_waiting_time",-32.16148939323898,-37.94829492324336,-26.379493063670225,10,100
"STAIR_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","p95_waiting_time",-129.7613673775982,-155.87512990191257,-104.62971092447344,10,100
"STAIR_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","mean_flow_time",-31.12500498733772,-37.286683140272224,-24.683886745548506,10,100
"STAIR_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","p95_flow_time",-112.26820457010571,-137.30153215503083,-88.49959046955664,10,100
"STAIR_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","distance_per_task",-0.4002994805453533,-2.47791548067259,1.748957006578741,10,100
"STAIR_OUTAGE","PPO_MINUS_TIME_GREEDY_RULE","recovery_time_s",-0.7020913716943229,-2.4829039172299945,0.9836982376049607,10,100
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","success_rate",0.0056000000000000025,-0.005299999999999997,0.017462500000000002,10,100
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","reward",647.9608967361884,587.7850393282934,710.4183933573288,10,100
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","successful_throughput_tasks_per_hour",1.0962464078182361,0.19124500243435613,2.0964911992689212,10,100
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","mean_waiting_time",-213.9497619688695,-237.33189692974648,-191.64110131471276,10,100
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","p95_waiting_time",-794.7691874811295,-900.2782510145477,-698.0202540862806,10,100
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","mean_flow_time",-228.0493823529126,-251.5128909123203,-205.2281984598797,10,100
"STAIR_OUTAGE","PPO_MINUS_SINGLE_DOG_ONLY","p95_flow_time",-773.1483933757178,-877.7853627570041,-673.7773190107508,10,100
