"scenario","method","metric","mean","std","sample_count"
"STAIR_OUTAGE","TIME_GREEDY_RULE","mean_waiting_time",139.85441669824814,73.26700810559198,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","p95_waiting_time",584.8550997825574,251.02235250036892,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","mean_flow_time",183.4091306438039,73.36402095168063,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","p95_flow_time",619.4478621057934,237.12458494550094,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","distance_per_task",73.76773948854392,2.2987997426094906,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","recovery_time_s",33.39222928022365,16.5663818430508,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","success_rate",0.9616250000000001,0.05573926381199371,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","reward",-913.7867411247782,446.97930828109435,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","successful_throughput_tasks_per_hour",67.4809824470486,7.298336465134207,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","mean_waiting_time",321.6426892738786,160.51850085683122,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","p95_waiting_time",1249.8629198860885,630.7510770847446,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","mean_flow_time",380.3335080093789,160.12437971730887,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","p95_flow_time",1280.3280509114056,625.0955809153068,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","distance_per_task",46.95265498840016,1.7033050416941773,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","recovery_time_s",36.105497616654446,25.07430165515673,100
"ROBOT_OUTAGE","PPO","success_rate",0.9678625,0.018954131551006316,1000
"ROBOT_OUTAGE","PPO","reward",-269.3424904158073,176.6045188979374,1000
"ROBOT_OUTAGE","PPO","successful_throughput_tasks_per_hour",68.62128038462117,8.151902470635795,1000
"ROBOT_OUTAGE","PPO","mean_waiting_time",108.97245700268782,59.03640014466506,1000
"ROBOT_OUTAGE","PPO","p95_waiting_time",452.83554340472045,185.00766373360224,1000
"ROBOT_OUTAGE","PPO","mean_flow_time",153.37117396490748,59.106660051863216,1000
"ROBOT_OUTAGE","PPO","p95_flow_time",504.5765316366091,177.12506280332587,1000
"ROBOT_OUTAGE","PPO","distance_per_task",71.86572929721564,3.9905841189215434,1000
"ROBOT_OUTAGE","PPO","recovery_time_s",33.45961938295262,18.871601856967082,1000
"ROBOT_OUTAGE","TIME_GREEDY_RULE","success_rate",0.9673749999999999,0.018369025174423008,100
