"scenario","method","metric","difference_from_control","ci95_low","ci95_high","training_seed_count","test_seed_count"
"NAVIGATION_FAILURE","PPO","success_rate",-0.0804375,-0.08780031250000002,-0.073499375,10,100
"NAVIGATION_FAILURE","PPO","reward",-46.249065123531366,-51.562958703752365,-41.20519464629629,10,100
"NAVIGATION_FAILURE","PPO","successful_throughput_tasks_per_hour",-5.720666647683387,-6.2405970097336985,-5.213737463921419,10,100
"NAVIGATION_FAILURE","PPO","mean_waiting_time",6.3634694580768105,4.932639848294224,7.954128373385917,10,100
"NAVIGATION_FAILURE","PPO","p95_waiting_time",21.140405019263927,14.387888923582922,28.162769680451884,10,100
"NAVIGATION_FAILURE","PPO","mean_flow_time",7.528466545847838,6.058645058943338,9.123558928858092,10,100
"NAVIGATION_FAILURE","PPO","p95_flow_time",22.777621077478088,15.731299532380467,30.0619641884634,10,100
"NAVIGATION_FAILURE","PPO","distance_per_task",0.5168952824593684,0.29590539110485664,0.7564845429831664,10,100
"NAVIGATION_FAILURE","TIME_GREEDY_RULE","success_rate",-0.08137500000000002,-0.0885,-0.07450000000000001,,100
"NAVIGATION_FAILURE","TIME_GREEDY_RULE","reward",-51.94853597212074,-60.270102367275534,-44.608416950182786,,100
"NAVIGATION_FAILURE","TIME_GREEDY_RULE","successful_throughput_tasks_per_hour",-5.782075666096398,-6.313602235374634,-5.275469057651434,,100
"NAVIGATION_FAILURE","TIME_GREEDY_RULE","mean_waiting_time",8.372308164844185,6.019891149084358,11.124034355052395,,100
"NAVIGATION_FAILURE","TIME_GREEDY_RULE","p95_waiting_time",25.242244897573922,15.996211273371621,35.7663355695741,,100
"NAVIGATION_FAILURE","TIME_GREEDY_RULE","mean_flow_time",9.511129986460533,7.124316081177974,12.28690221596387,,100
"NAVIGATION_FAILURE","TIME_GREEDY_RULE","p95_flow_time",24.71269380926593,15.042803407765726,35.32159331711243,,100
"NAVIGATION_FAILURE","TIME_GREEDY_RULE","distance_per_task",0.5821642758452853,0.32259111127553314,0.84438179061286,,100
"NAVIGATION_FAILURE","SINGLE_DOG_ONLY","success_rate",-0.074875,-0.08112812500000002,-0.06862499999999999,,100
"NAVIGATION_FAILURE","SINGLE_DOG_ONLY","reward",-56.86483190690754,-72.8722138287824,-42.75311606555693,,100
"NAVIGATION_FAILURE","SINGLE_DOG_ONLY","successful_throughput_tasks_per_hour",-5.250641768276942,-5.707911835475866,-4.786559375753441,,100
"NAVIGATION_FAILURE","SINGLE_DOG_ONLY","mean_waiting_time",12.425332368047602,7.296825315538749,18.121238374673407,,100
"NAVIGATION_FAILURE","SINGLE_DOG_ONLY","p95_waiting_time",57.83671424944374,22.544629474211504,98.29901172989108,,100
"NAVIGATION_FAILURE","SINGLE_DOG_ONLY","mean_flow_time",13.363060595724273,8.228219579599235,19.27819401904538,,100
"NAVIGATION_FAILURE","SINGLE_DOG_ONLY","p95_flow_time",55.67029249844751,21.91626401016935,95.56370660711633,,100
"NAVIGATION_FAILURE","SINGLE_DOG_ONLY","distance_per_task",-0.10781741785866367,-0.17885561195212127,-0.04618672043660318,,100
"STAIR_OUTAGE","PPO","success_rate",-0.00017499999999999883,-0.0008124999999999976,0.0004128124999999987,10,100
"STAIR_OUTAGE","PPO","reward",-8.398290605582801,-11.42952407547709,-5.609755883188219,10,100
"STAIR_OUTAGE","PPO","successful_throughput_tasks_per_hour",-0.022365982920128667,-0.06987844491885373,0.023806049750501497,10,100
"STAIR_OUTAGE","PPO","mean_waiting_time",2.4113272838483537,1.482471984329337,3.4277092279134513,10,100
"STAIR_OUTAGE","PPO","p95_waiting_time",8.704117814612099,3.9591335125528646,13.610843086076912,10,100
"STAIR_OUTAGE","PPO","mean_flow_time",2.7749429246757384,1.8432166856070142,3.8094226779452542,10,100
"STAIR_OUTAGE","PPO","p95_flow_time",9.801955031355467,4.92143262931415,14.86310706995142,10,100
"STAIR_OUTAGE","PPO","distance_per_task",1.3630301236921618,1.0891021480483387,1.6389707852349695,10,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","success_rate",-0.0005000000000000015,-0.0013750000000000019,0.00037499999999999865,,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","reward",-7.516723395722055,-11.06184805982108,-3.9339985953147414,,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","successful_throughput_tasks_per_hour",-0.027343433911053195,-0.09516353600636293,0.03813168870509786,,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","mean_waiting_time",2.151821808579702,0.9924686960738808,3.325864723266678,,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","p95_waiting_time",4.057305356085198,-2.379856434383148,9.92351421167805,,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","mean_flow_time",2.500542722725397,1.3130708238687523,3.7184795001687085,,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","p95_flow_time",4.333793316835349,-1.8083616948333576,10.136795554948668,,100
"STAIR_OUTAGE","TIME_GREEDY_RULE","distance_per_task",1.3429890588375506,0.9709353593386435,1.7298870661724597,,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","success_rate",-0.004375000000000002,-0.008250000000000006,-0.0012500000000000011,,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","reward",-74.37888323135051,-98.92208507233819,-53.12057528344296,,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","successful_throughput_tasks_per_hour",-0.43161143944714503,-0.7704708304218773,-0.17876296569318195,,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","mean_waiting_time",25.787202005241816,17.83930984347546,34.70354701369478,,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","p95_waiting_time",107.6960251734427,60.76191736041943,164.82490077564054,,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","mean_flow_time",26.770556087264314,18.743206322389067,35.67457043063641,,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","p95_flow_time",105.8551873789859,60.44793112185241,159.7095903918984,,100
"STAIR_OUTAGE","SINGLE_DOG_ONLY","distance_per_task",0.7866832656180001,0.6371846707091994,0.9351238712058246,,100
"ROBOT_OUTAGE","PPO","success_rate",0.0004624999999999998,-0.00017499999999999994,0.0011499999999999995,10,100
"ROBOT_OUTAGE","PPO","reward",-11.914936632800417,-15.738778115387982,-8.40810922380103,10,100
"ROBOT_OUTAGE","PPO","successful_throughput_tasks_per_hour",0.021685546834205118,-0.028928060081923213,0.07081821856139323,10,100
"ROBOT_OUTAGE","PPO","mean_waiting_time",3.69085698152702,2.502704938192346,4.939859610133874,10,100
"ROBOT_OUTAGE","PPO","p95_waiting_time",6.445928814373422,1.343876384599776,11.644729358128542,10,100
"ROBOT_OUTAGE","PPO","mean_flow_time",3.861991233117018,2.719067529966511,5.1339151155756895,10,100
"ROBOT_OUTAGE","PPO","p95_flow_time",7.198829132276769,2.4230205300341043,12.328517358412139,10,100
"ROBOT_OUTAGE","PPO","distance_per_task",-0.13868058709077333,-0.37104939187117686,0.09505325811051026,10,100
"ROBOT_OUTAGE","TIME_GREEDY_RULE","success_rate",0.00012499999999999846,-0.0006250000000000022,0.0008781249999999567,,100
