profile,policy_successful_throughput,baseline_successful_throughput,mean_delta,ci_low_crossed,ci_high_crossed,exact_sign_flip_p,positive_training_seed_count,unit
MEDIUM,54.736701556849695,54.34481779020617,0.39188376664352587,0.1785475183747859,0.6300735304503543,0.001953125,10,completed tasks per simulated hour
DENSE,122.10410422938257,119.96178719958951,2.142317029793051,0.7791858378290246,3.5309469402078295,0.001953125,10,completed tasks per simulated hour
BURST,143.61897537841799,142.43142596846448,1.187549409953499,-0.5874531060009849,3.0423209501942305,0.015625,8,completed tasks per simulated hour
