training_profile,evaluation_profile,route,reward_delta,success_delta_pp,successful_throughput_delta,positive_reward_seed_count,car_dog_car_share_pct,single_dog_share_pct
MEDIUM,MEDIUM,MEDIUM→MEDIUM,0.35203644081512664,0.9599999999999975,0.3918837666435209,10,21.634999999999998,28.415000000000003
MEDIUM,DENSE,MEDIUM→DENSE,7.3805959518862085,1.0549999999999982,-1.5578458502179386,8,20.365,29.755
MEDIUM,BURST,MEDIUM→BURST,16.622910835344527,1.3400000000000034,-4.130192805775414,10,19.785,30.349999999999998
DENSE,MEDIUM,DENSE→MEDIUM,-0.030599367958087244,0.21999999999999684,0.07488618467014732,4,32.2,17.8
DENSE,DENSE,DENSE→DENSE,19.223568318263645,0.1949999999999985,2.1423170297930456,10,32.33,17.669999999999998
DENSE,BURST,DENSE→BURST,38.480925336401825,0.40000000000000363,0.8416801466643562,10,32.43,17.57
BURST,MEDIUM,BURST→MEDIUM,0.023521851208187883,0.2849999999999975,0.09602384099194836,7,31.715,18.285
BURST,DENSE,BURST→DENSE,18.990049144884416,0.2049999999999974,1.5785251105277738,10,32.275,17.724999999999998
BURST,BURST,BURST→BURST,39.73963384876074,0.37000000000000366,1.1875494099534962,10,32.29,17.71
