profile,metric,mean_delta,ci_low,ci_high,raw_p,bh_q_global36,holm_p_global36,positive_seed_count,mean_delta_pp,ci_low_pp,ci_high_pp
MEDIUM,reward,0.3520364408151257,0.22016890900882138,0.4860993935117085,0.001953125,0.00439453125,0.0703125,10,,,
MEDIUM,success_rate,0.009600000000000004,0.008200000000000002,0.011051249999999988,0.001953125,0.00439453125,0.0703125,10,0.9600000000000004,0.8200000000000003,1.1051249999999988
MEDIUM,throughput_tasks_per_hour,-0.14450577758875438,-0.16991514634003646,-0.12137551378017097,0.001953125,0.00439453125,0.0703125,0,,,
DENSE,reward,19.223568318263638,18.324318822081647,20.137260909169033,0.001953125,0.00439453125,0.0703125,10,,,
DENSE,success_rate,0.0019500000000000016,0.0002000000000000015,0.004150000000000002,0.078125,0.14802631578947367,1.0,8,0.19500000000000017,0.02000000000000015,0.4150000000000002
DENSE,throughput_tasks_per_hour,1.9702990839651993,1.2256670103864549,2.6917538015797216,0.001953125,0.00439453125,0.0703125,10,,,
BURST,reward,39.73963384876077,38.16454356525803,41.280716493798565,0.001953125,0.00439453125,0.0703125,10,,,
BURST,success_rate,0.0037000000000000006,0.0015,0.006499999999999998,0.001953125,0.00439453125,0.0703125,10,0.37000000000000005,0.15,0.6499999999999998
BURST,throughput_tasks_per_hour,0.5979571182048058,-0.49568171346567386,1.6492346121748962,0.205078125,0.3515625,1.0,6,,,
